# name	type	description
@magicui/highlighter	ui	A text highlighter that mimics the effect of a human-drawn marker stroke.
@magicui/highlighter-demo	example	Example showing the demo of a Highlighter
@magicui/hyper-text	ui	A text animation that scrambles letters before revealing the final text.
@magicui/hyper-text-demo	example	Example showing text with scrambling letter animations.
@magicui/icon-cloud	ui	An interactive 3D tag cloud component
@magicui/icon-cloud-demo	example	Example showing an interactive 3D icon cloud.
@magicui/icon-cloud-demo-2	example	Second example showing an interactive 3D icon cloud.
@magicui/icon-cloud-demo-3	example	Third example showing an interactive 3D icon cloud.
@magicui/index	style	
@magicui/interactive-grid-pattern	ui	A interactive background grid pattern made with SVGs, fully customizable using Tailwind CSS.
@magicui/interactive-grid-pattern-demo	example	Example showing an interactive grid pattern background.
@magicui/interactive-grid-pattern-demo-2	example	Second example showing an interactive grid pattern background.
@magicui/interactive-hover-button	ui	
@magicui/interactive-hover-button-demo	example	Example showing an interactive button with hover effects.
@magicui/iphone	ui	A mockup of the iPhone
@magicui/iphone-demo	example	Example showing an iPhone mockup.
@magicui/iphone-demo-2	example	Second example showing an iPhone mockup.
@magicui/iphone-demo-3	example	Third example showing an iPhone mockup.
@magicui/kinetic-text	ui	A text component that animates font weight of characters on hover.
@magicui/kinetic-text-demo	example	An example of the kinetic text component.
@magicui/lens	ui	A interactive component that enables zooming into images, videos and other elements.
@magicui/lens-demo	example	Example showing a lens effect component
@magicui/lens-demo-2	example	Second example showing a lens effect component
@magicui/lens-demo-3	example	Third example showing a lens effect component
@magicui/light-rays	ui	A component with animated light rays which shine down from above.
@magicui/light-rays-demo	example	Demo of the light-rays component showcasing animated light rays
@magicui/line-shadow-text	ui	A text component with a moving line shadow.
@magicui/line-shadow-text-demo	example	Example showing a text component with a moving line shadow.
@magicui/magic-card	ui	A spotlight effect that follows your mouse cursor and highlights borders on hover.
@magicui/magic-card-demo	example	Example showing a spotlight effect that follows your mouse cursor and highlights borders on hover.
@magicui/magic-card-demo-2	example	Example showing a magic card with an orb effect.
@magicui/marquee	ui	An infinite scrolling component that can be used to display text, images, or videos.
@magicui/marquee-3d	example	Example showing a 3D infinite scrolling component.
@magicui/marquee-demo	example	Example showing an infinite scrolling component.
@magicui/marquee-demo-vertical	example	Example showing a vertical infinite scrolling component.
@magicui/marquee-logos	example	Example showing an infinite scrolling logo carousel.
@magicui/meteors	ui	A meteor shower effect.
@magicui/meteors-demo	example	Example showing a meteor shower effect.
@magicui/morphing-text	ui	A dynamic text morphing component for Magic UI.
@magicui/morphing-text-demo	example	Example showing a dynamic text morphing component.
@magicui/neon-gradient-card	ui	A beautiful neon card effect
@magicui/neon-gradient-card-demo	example	Example showing a beautiful neon card effect.
@magicui/noise-texture	ui	An SVG fractal noise layer using feTurbulence, desaturation, and contrast controls for subtle texture overlays.
@magicui/noise-texture-demo	example	Example showing the SVG noise texture in a framed panel with a radial mask.
@magicui/noise-texture-demo-2	example	Example showing a newsletter signup card with email input over a noise texture.
@magicui/noise-texture-demo-3	example	Example showing NoiseTexture behind a button label inside a relative button.
@magicui/noise-texture-demo-4	example	Example showing a labeled input field with NoiseTexture filling the input container.
@magicui/number-ticker	ui	Animate numbers to count up or down to a target number
@magicui/number-ticker-decimal-demo	example	Example showing animated counting decimal numbers.
@magicui/number-ticker-demo	example	Example showing animated counting numbers.
@magicui/number-ticker-demo-2	example	Example showing animated counting numbers.
@magicui/orbiting-circles	ui	A collection of circles which move in orbit along a circular path
@magicui/orbiting-circles-demo	example	Example showing circles moving in orbital paths.
@magicui/particles	ui	Particles are a fun way to add some visual flair to your website. They can be used to create a sense of depth, movement, and interactivity.
@magicui/particles-demo	example	Example showing interactive particle effects.
@magicui/pixel-image	ui	A component that displays an image with a pixelated effect, creating a retro aesthetic.
@magicui/pixel-image-demo	example	Example showing a pixelated image effect.
@magicui/pointer	ui	A component that displays a pointer when hovering over an element
@magicui/pointer-demo-1	example	Example showing a pointer effect component
@magicui/progressive-blur	ui	The Progressive Blur component adds a smooth blur gradient effect to scrollable content, indicating more content below or above.
@magicui/progressive-blur-demo	example	Example showing progressive blur effect for scrollable content.
@magicui/pulsating-button	ui	An animated pulsating button useful for capturing attention of users.
@magicui/pulsating-button-demo	example	Example showing an animated pulsating button.
@magicui/pulsating-button-demo-2	example	Example showing an animated pulsating button with a ripple varaint.
@magicui/rainbow-button	ui	An animated button with a rainbow effect.
@magicui/rainbow-button-demo	example	Example showing an animated button with rainbow effect.
@magicui/rainbow-button-demo-2	example	Example showing an animated button with rainbow effect.
@magicui/retro-grid	ui	An animated scrolling retro grid effect
@magicui/retro-grid-demo	example	Example showing an animated scrolling retro grid effect.
@magicui/ripple	ui	An animated ripple effect typically used behind elements to emphasize them.
@magicui/ripple-button	ui	An animated button with ripple useful for user engagement.
@magicui/ripple-button-demo	example	Example showing an animated button with ripple effect.
@magicui/ripple-demo	example	Example showing an animated ripple effect.
@magicui/safari	ui	A safari browser mockup to showcase your website.
@magicui/safari-demo	example	Example showing a Safari browser mockup.
@magicui/safari-demo-2	example	Second example showing a Safari browser mockup.
@magicui/safari-demo-3	example	Third example showing a Safari browser mockup.
@magicui/safari-demo-4	example	Fourth example showing a Safari browser mockup.
@magicui/scroll-based-velocity	ui	Scrolling text whose speed changes based on scroll speed
@magicui/scroll-based-velocity-demo	example	Example showing text speed changes based on scroll velocity.
@magicui/scroll-based-velocity-images-demo	example	Example showing Unsplash images scrolling with speed reacting to scroll velocity.
@magicui/scroll-progress	ui	Animated Scroll Progress for your pages
@magicui/scroll-progress-demo	example	Example showing animated scroll progress for your pages.
@magicui/shimmer-button	ui	A button with a shimmering light which travels around the perimeter.
@magicui/shimmer-button-demo	example	Example showing a button with a shimmering light effect.
@magicui/shine-border	ui	Shine border is an animated background border effect.
@magicui/shine-border-demo	example	Example showing an animated shining border effect.
@magicui/shine-border-demo-2	example	Second example showing an animated shining border effect.
@magicui/shiny-button	ui	A shiny button component with dynamic styles in the dark mode or light mode.
@magicui/shiny-button-demo	example	Example showing a shiny button with dynamic styles.
@magicui/smooth-cursor	ui	A customizable, physics-based smooth cursor animation component with spring animations and rotation effects
@magicui/smooth-cursor-demo	example	Basic smooth cursor example
@magicui/sparkles-text	ui	A dynamic text that generates continuous sparkles with smooth transitions, perfect for highlighting text with animated stars.
@magicui/sparkles-text-demo	example	Example showing text with animated sparkle effects.
@magicui/spinning-text	ui	The Spinning Text component animates text in a circular motion with customizable speed, direction, color, and transitions for dynamic and engaging effects.
@magicui/spinning-text-demo	example	Example showing spinning text animation.
@magicui/spinning-text-demo-2	example	Example showing spinning text animation.
@magicui/striped-pattern	ui	A background striped pattern made with SVGs, fully customizable using Tailwind CSS.
@magicui/striped-pattern-dashed	example	Example showing a background striped pattern with a dashed stroke.
@magicui/striped-pattern-demo	example	Example showing a background striped pattern made with SVGs.
@magicui/striped-pattern-right	example	Example showing a background striped pattern slanting to the right using SVG.
@magicui/terminal	ui	A terminal component
@magicui/terminal-demo	example	Example showing a terminal with animated text.
@magicui/terminal-demo-2	example	Example showing a terminal with animated text and custom delays
@magicui/text-3d-flip	ui	A text effect that flips each letter in 3D with a staggered animation on hover.
@magicui/text-3d-flip-demo	example	Example showing a 3D text animation that rotates each letter on hover.
@magicui/text-3d-flip-demo-2	example	Example showing a 3D text flip with stagger from center.
@magicui/text-animate	ui	A text animation component that animates text using a variety of different animations.
@magicui/text-animate-demo	example	Example showing various text animations.
@magicui/text-animate-demo-2	example	Second example showing various text animations.
@magicui/text-animate-demo-3	example	Third example showing various text animations.
@magicui/text-animate-demo-4	example	Fourth example showing various text animations.
@magicui/text-animate-demo-5	example	Fifth example showing various text animations.
@magicui/text-animate-demo-6	example	Sixth example showing various text animations.
@magicui/text-animate-demo-7	example	Seventh example showing various text animations.
@magicui/text-animate-demo-8	example	Eighth example showing various text animations.
@magicui/text-animate-demo-9	example	Ninth example showing various text animations.
@magicui/text-reveal	ui	Fade in text as you scroll down the page.
@magicui/text-reveal-demo	example	Example showing text that fades in on scroll.
@magicui/tweet-card	ui	A card that displays a tweet with the author's name, handle, and profile picture.
@magicui/tweet-card-demo	example	Example showing a tweet card with author info.
@magicui/tweet-card-images	example	Example showing a tweet card with images.
@magicui/tweet-card-meta-preview	example	Example showing a tweet card with meta preview.
@magicui/typing-animation	ui	Characters appearing in typed animation
@magicui/typing-animation-demo	example	Example showing typed character animations.
@magicui/typing-animation-demo-2	example	Example showing multiple words with looping.
@magicui/typing-animation-demo-3	example	Example showing custom typing and deleting speeds.
@magicui/typing-animation-demo-4	example	Example showing animation that starts when in viewport.
@magicui/typing-animation-demo-5	example	Example showing typing animation without cursor.
@magicui/typing-animation-demo-6	example	Example showing single play without looping.
@magicui/typing-animation-demo-7	example	Example showing cursor blinking control.
@magicui/typing-animation-demo-8	example	Example showing different cursor styles (line, block, underscore).
@magicui/utils	lib	
@magicui/video-text	ui	A component that displays text with a video playing in the background.
@magicui/video-text-demo	example	Example showing text with a video background.
@magicui/warp-background	ui	A card with a time warping background effect.
@magicui/warp-background-demo	example	Example showing a card with a time warping background effect.
@magicui/word-rotate	ui	A vertical rotation of words
@magicui/word-rotate-demo	example	Example showing vertical word rotation animation.
@react-bits/AccordionGallery-JS-CSS	component	Panels expand on hover or focus, revealing parallax imagery and captions.
@react-bits/AccordionGallery-JS-TW	component	Panels expand on hover or focus, revealing parallax imagery and captions.
@react-bits/AccordionGallery-TS-CSS	component	Panels expand on hover or focus, revealing parallax imagery and captions.
@react-bits/AccordionGallery-TS-TW	component	Panels expand on hover or focus, revealing parallax imagery and captions.
@react-bits/AcidSquares-JS-CSS	component	A crystalline corridor of stacked squares receding into depth.
@react-bits/AcidSquares-JS-TW	component	A crystalline corridor of stacked squares receding into depth.
@react-bits/AcidSquares-TS-CSS	component	A crystalline corridor of stacked squares receding into depth.
@react-bits/AcidSquares-TS-TW	component	A crystalline corridor of stacked squares receding into depth.
@react-bits/AnimatedContent-JS-CSS	component	Wrapper that animates any children on scroll or mount with configurable direction, distance, duration, easing and disappear options.
@react-bits/AnimatedContent-JS-TW	component	Wrapper that animates any children on scroll or mount with configurable direction, distance, duration, easing and disappear options.
@react-bits/AnimatedContent-TS-CSS	component	Wrapper that animates any children on scroll or mount with configurable direction, distance, duration, easing and disappear options.
@react-bits/AnimatedContent-TS-TW	component	Wrapper that animates any children on scroll or mount with configurable direction, distance, duration, easing and disappear options.
@react-bits/AnimatedList-JS-CSS	component	List items enter with staggered motion variants for polished reveals.
@react-bits/AnimatedList-JS-TW	component	List items enter with staggered motion variants for polished reveals.
@react-bits/AnimatedList-TS-CSS	component	List items enter with staggered motion variants for polished reveals.
@react-bits/AnimatedList-TS-TW	component	List items enter with staggered motion variants for polished reveals.
@react-bits/Antigravity-JS-CSS	component	3D antigravity particle field that repels from the cursor with smooth motion.
@react-bits/Antigravity-JS-TW	component	3D antigravity particle field that repels from the cursor with smooth motion.
@react-bits/Antigravity-TS-CSS	component	3D antigravity particle field that repels from the cursor with smooth motion.
@react-bits/Antigravity-TS-TW	component	3D antigravity particle field that repels from the cursor with smooth motion.
@react-bits/ASCIIText-JS-CSS	component	Renders text with an animated ASCII background for a retro feel.
@react-bits/ASCIIText-JS-TW	component	Renders text with an animated ASCII background for a retro feel.
@react-bits/ASCIIText-TS-CSS	component	Renders text with an animated ASCII background for a retro feel.
@react-bits/ASCIIText-TS-TW	component	Renders text with an animated ASCII background for a retro feel.
@react-bits/Aurora-JS-CSS	component	Flowing aurora gradient background.
@react-bits/Aurora-JS-TW	component	Flowing aurora gradient background.
@react-bits/Aurora-TS-CSS	component	Flowing aurora gradient background.
@react-bits/Aurora-TS-TW	component	Flowing aurora gradient background.
@react-bits/Balatro-JS-CSS	component	The balatro shader, fully customizalbe and interactive.
@react-bits/Balatro-JS-TW	component	The balatro shader, fully customizalbe and interactive.
@react-bits/Balatro-TS-CSS	component	The balatro shader, fully customizalbe and interactive.
@react-bits/Balatro-TS-TW	component	The balatro shader, fully customizalbe and interactive.
@react-bits/Ballpit-JS-CSS	component	Physics ball pit simulation with bouncing colorful spheres.
@react-bits/Ballpit-JS-TW	component	Physics ball pit simulation with bouncing colorful spheres.
@react-bits/Ballpit-TS-CSS	component	Physics ball pit simulation with bouncing colorful spheres.
@react-bits/Ballpit-TS-TW	component	Physics ball pit simulation with bouncing colorful spheres.
@react-bits/Beams-JS-CSS	component	Crossing animated ribbons with customizable properties.
@react-bits/Beams-JS-TW	component	Crossing animated ribbons with customizable properties.
@react-bits/Beams-TS-CSS	component	Crossing animated ribbons with customizable properties.
@react-bits/Beams-TS-TW	component	Crossing animated ribbons with customizable properties.
@react-bits/BlobCursor-JS-CSS	component	Organic blob cursor that smoothly follows the pointer with inertia and elastic morphing.
@react-bits/BlobCursor-JS-TW	component	Organic blob cursor that smoothly follows the pointer with inertia and elastic morphing.
@react-bits/BlobCursor-TS-CSS	component	Organic blob cursor that smoothly follows the pointer with inertia and elastic morphing.
@react-bits/BlobCursor-TS-TW	component	Organic blob cursor that smoothly follows the pointer with inertia and elastic morphing.
@react-bits/BlurText-JS-CSS	component	Text starts blurred then crisply resolves for a soft-focus reveal effect.
@react-bits/BlurText-JS-TW	component	Text starts blurred then crisply resolves for a soft-focus reveal effect.
@react-bits/BlurText-TS-CSS	component	Text starts blurred then crisply resolves for a soft-focus reveal effect.
@react-bits/BlurText-TS-TW	component	Text starts blurred then crisply resolves for a soft-focus reveal effect.
@react-bits/BorderGlow-JS-CSS	component	Glowing mesh-gradient border that follows cursor direction and intensifies near edges.
@react-bits/BorderGlow-JS-TW	component	Glowing mesh-gradient border that follows cursor direction and intensifies near edges.
@react-bits/BorderGlow-TS-CSS	component	Glowing mesh-gradient border that follows cursor direction and intensifies near edges.
@react-bits/BorderGlow-TS-TW	component	Glowing mesh-gradient border that follows cursor direction and intensifies near edges.
@react-bits/BounceCards-JS-CSS	component	Cards bounce that bounce in on mount.
@react-bits/BounceCards-JS-TW	component	Cards bounce that bounce in on mount.
@react-bits/BounceCards-TS-CSS	component	Cards bounce that bounce in on mount.
@react-bits/BounceCards-TS-TW	component	Cards bounce that bounce in on mount.
@react-bits/BubbleMenu-JS-CSS	component	Floating circular expanding menu with staggered item reveal.
@react-bits/BubbleMenu-JS-TW	component	Floating circular expanding menu with staggered item reveal.
@react-bits/BubbleMenu-TS-CSS	component	Floating circular expanding menu with staggered item reveal.
@react-bits/BubbleMenu-TS-TW	component	Floating circular expanding menu with staggered item reveal.
@react-bits/CardNav-JS-CSS	component	Expandable navigation bar with card panels revealing nested links.
@react-bits/CardNav-JS-TW	component	Expandable navigation bar with card panels revealing nested links.
@react-bits/CardNav-TS-CSS	component	Expandable navigation bar with card panels revealing nested links.
@react-bits/CardNav-TS-TW	component	Expandable navigation bar with card panels revealing nested links.
@react-bits/CardSwap-JS-CSS	component	Cards animate position swapping with smooth layout transitions.
@react-bits/CardSwap-JS-TW	component	Cards animate position swapping with smooth layout transitions.
@react-bits/CardSwap-TS-CSS	component	Cards animate position swapping with smooth layout transitions.
@react-bits/CardSwap-TS-TW	component	Cards animate position swapping with smooth layout transitions.
@react-bits/Carousel-JS-CSS	component	Responsive carousel with touch gestures, looping and transitions.
@react-bits/Carousel-JS-TW	component	Responsive carousel with touch gestures, looping and transitions.
@react-bits/Carousel-TS-CSS	component	Responsive carousel with touch gestures, looping and transitions.
@react-bits/Carousel-TS-TW	component	Responsive carousel with touch gestures, looping and transitions.
@react-bits/ChromaGrid-JS-CSS	component	A responsive grid of grayscale tiles. Hovering the grid reaveals their colors.
@react-bits/ChromaGrid-JS-TW	component	A responsive grid of grayscale tiles. Hovering the grid reaveals their colors.
@react-bits/ChromaGrid-TS-CSS	component	A responsive grid of grayscale tiles. Hovering the grid reaveals their colors.
@react-bits/ChromaGrid-TS-TW	component	A responsive grid of grayscale tiles. Hovering the grid reaveals their colors.
@react-bits/CircularGallery-JS-CSS	component	Circular orbit gallery rotating images.
@react-bits/CircularGallery-JS-TW	component	Circular orbit gallery rotating images.
@react-bits/CircularGallery-TS-CSS	component	Circular orbit gallery rotating images.
@react-bits/CircularGallery-TS-TW	component	Circular orbit gallery rotating images.
@react-bits/CircularText-JS-CSS	component	Layouts characters around a circle with optional rotation animation.
@react-bits/CircularText-JS-TW	component	Layouts characters around a circle with optional rotation animation.
@react-bits/CircularText-TS-CSS	component	Layouts characters around a circle with optional rotation animation.
@react-bits/CircularText-TS-TW	component	Layouts characters around a circle with optional rotation animation.
@react-bits/ClickSpark-JS-CSS	component	Creates particle spark bursts at click position.
@react-bits/ClickSpark-JS-TW	component	Creates particle spark bursts at click position.
@react-bits/ClickSpark-TS-CSS	component	Creates particle spark bursts at click position.
@react-bits/ClickSpark-TS-TW	component	Creates particle spark bursts at click position.
@react-bits/ColorBends-JS-CSS	component	Vibrant color bends with smooth flowing animation.
@react-bits/ColorBends-JS-TW	component	Vibrant color bends with smooth flowing animation.
@react-bits/ColorBends-TS-CSS	component	Vibrant color bends with smooth flowing animation.
@react-bits/ColorBends-TS-TW	component	Vibrant color bends with smooth flowing animation.
@react-bits/Counter-JS-CSS	component	Flexible animated counter supporting increments + easing.
@react-bits/Counter-JS-TW	component	Flexible animated counter supporting increments + easing.
@react-bits/Counter-TS-CSS	component	Flexible animated counter supporting increments + easing.
@react-bits/Counter-TS-TW	component	Flexible animated counter supporting increments + easing.
@react-bits/CountUp-JS-CSS	component	Animated number counter supporting formatting and decimals.
@react-bits/CountUp-JS-TW	component	Animated number counter supporting formatting and decimals.
@react-bits/CountUp-TS-CSS	component	Animated number counter supporting formatting and decimals.
@react-bits/CountUp-TS-TW	component	Animated number counter supporting formatting and decimals.
@react-bits/Crosshair-JS-CSS	component	Custom crosshair cursor with tracking, and link hover effects.
@react-bits/Crosshair-JS-TW	component	Custom crosshair cursor with tracking, and link hover effects.
@react-bits/Crosshair-TS-CSS	component	Custom crosshair cursor with tracking, and link hover effects.
@react-bits/Crosshair-TS-TW	component	Custom crosshair cursor with tracking, and link hover effects.
@react-bits/Cubes-JS-CSS	component	3D rotating cube cluster. Supports auto-rotation or hover interaction.
@react-bits/Cubes-JS-TW	component	3D rotating cube cluster. Supports auto-rotation or hover interaction.
@react-bits/Cubes-TS-CSS	component	3D rotating cube cluster. Supports auto-rotation or hover interaction.
@react-bits/Cubes-TS-TW	component	3D rotating cube cluster. Supports auto-rotation or hover interaction.
@react-bits/CursorGrid-JS-CSS	component	Canvas grid whose cells light up around the cursor with configurable radius, falloff and click pulses.
@react-bits/CursorGrid-JS-TW	component	Canvas grid whose cells light up around the cursor with configurable radius, falloff and click pulses.
@react-bits/CursorGrid-TS-CSS	component	Canvas grid whose cells light up around the cursor with configurable radius, falloff and click pulses.
@react-bits/CursorGrid-TS-TW	component	Canvas grid whose cells light up around the cursor with configurable radius, falloff and click pulses.
@react-bits/CurvedInput-JS-CSS	component	Arc-bent input bar with text, caret and submit button all following the curve.
@react-bits/CurvedInput-JS-TW	component	Arc-bent input bar with text, caret and submit button all following the curve.
@react-bits/CurvedInput-TS-CSS	component	Arc-bent input bar with text, caret and submit button all following the curve.
@react-bits/CurvedInput-TS-TW	component	Arc-bent input bar with text, caret and submit button all following the curve.
@react-bits/CurvedLoop-JS-CSS	component	Flowing looping text path along a customizable curve with drag interaction.
@react-bits/CurvedLoop-JS-TW	component	Flowing looping text path along a customizable curve with drag interaction.
@react-bits/CurvedLoop-TS-CSS	component	Flowing looping text path along a customizable curve with drag interaction.
@react-bits/CurvedLoop-TS-TW	component	Flowing looping text path along a customizable curve with drag interaction.
@react-bits/DarkVeil-JS-CSS	component	Subtle dark background with a smooth animation and postprocessing.
@react-bits/DarkVeil-JS-TW	component	Subtle dark background with a smooth animation and postprocessing.
@react-bits/DarkVeil-TS-CSS	component	Subtle dark background with a smooth animation and postprocessing.
@react-bits/DarkVeil-TS-TW	component	Subtle dark background with a smooth animation and postprocessing.
@react-bits/DecayCard-JS-CSS	component	Hover parallax effect that disintegrates the content of a card.
@react-bits/DecayCard-JS-TW	component	Hover parallax effect that disintegrates the content of a card.
@react-bits/DecayCard-TS-CSS	component	Hover parallax effect that disintegrates the content of a card.
@react-bits/DecayCard-TS-TW	component	Hover parallax effect that disintegrates the content of a card.
@react-bits/DecryptedText-JS-CSS	component	Hacker-style decryption cycling random glyphs until resolving to real text.
@react-bits/DecryptedText-JS-TW	component	Hacker-style decryption cycling random glyphs until resolving to real text.
@react-bits/DecryptedText-TS-CSS	component	Hacker-style decryption cycling random glyphs until resolving to real text.
@react-bits/DecryptedText-TS-TW	component	Hacker-style decryption cycling random glyphs until resolving to real text.
@react-bits/DepthCarousel-JS-CSS	component	Cards recede into depth on a 3D rail, with drag, keyboard and auto-advance.
@react-bits/DepthCarousel-JS-TW	component	Cards recede into depth on a 3D rail, with drag, keyboard and auto-advance.
@react-bits/DepthCarousel-TS-CSS	component	Cards recede into depth on a 3D rail, with drag, keyboard and auto-advance.
@react-bits/DepthCarousel-TS-TW	component	Cards recede into depth on a 3D rail, with drag, keyboard and auto-advance.
@react-bits/DepthText-JS-CSS	component	Layered extruded type with parallax that shifts against the pointer.
@react-bits/DepthText-JS-TW	component	Layered extruded type with parallax that shifts against the pointer.
@react-bits/DepthText-TS-CSS	component	Layered extruded type with parallax that shifts against the pointer.
@react-bits/DepthText-TS-TW	component	Layered extruded type with parallax that shifts against the pointer.
@react-bits/Dither-JS-CSS	component	Retro dithered noise shader background.
@react-bits/Dither-JS-TW	component	Retro dithered noise shader background.
@react-bits/Dither-TS-CSS	component	Retro dithered noise shader background.
@react-bits/Dither-TS-TW	component	Retro dithered noise shader background.
@react-bits/Dock-JS-CSS	component	macOS style magnifying dock with proximity scaling of icons.
@react-bits/Dock-JS-TW	component	macOS style magnifying dock with proximity scaling of icons.
@react-bits/Dock-TS-CSS	component	macOS style magnifying dock with proximity scaling of icons.
@react-bits/Dock-TS-TW	component	macOS style magnifying dock with proximity scaling of icons.
@react-bits/DomeGallery-JS-CSS	component	Immersive 3D dome gallery projecting images on a hemispheric surface.
@react-bits/DomeGallery-JS-TW	component	Immersive 3D dome gallery projecting images on a hemispheric surface.
@react-bits/DomeGallery-TS-CSS	component	Immersive 3D dome gallery projecting images on a hemispheric surface.
@react-bits/DomeGallery-TS-TW	component	Immersive 3D dome gallery projecting images on a hemispheric surface.
@react-bits/DotField-JS-CSS	component	Interactive dot grid with cursor bulge, glow, sparkle, and wave effects.
@react-bits/DotField-JS-TW	component	Interactive dot grid with cursor bulge, glow, sparkle, and wave effects.
@react-bits/DotField-TS-CSS	component	Interactive dot grid with cursor bulge, glow, sparkle, and wave effects.
@react-bits/DotField-TS-TW	component	Interactive dot grid with cursor bulge, glow, sparkle, and wave effects.
@react-bits/DotGrid-JS-CSS	component	Animated dot grid with cursor interactions.
@react-bits/DotGrid-JS-TW	component	Animated dot grid with cursor interactions.
@react-bits/DotGrid-TS-CSS	component	Animated dot grid with cursor interactions.
@react-bits/DotGrid-TS-TW	component	Animated dot grid with cursor interactions.
@react-bits/DriftWall-JS-CSS	component	An endless perspective wall of tiles drifting past, lifting on hover.
@react-bits/DriftWall-JS-TW	component	An endless perspective wall of tiles drifting past, lifting on hover.
@react-bits/DriftWall-TS-CSS	component	An endless perspective wall of tiles drifting past, lifting on hover.
@react-bits/DriftWall-TS-TW	component	An endless perspective wall of tiles drifting past, lifting on hover.
@react-bits/EchoText-JS-CSS	component	Ghosted copies trail behind the text and settle into a single word.
@react-bits/EchoText-JS-TW	component	Ghosted copies trail behind the text and settle into a single word.
@react-bits/EchoText-TS-CSS	component	Ghosted copies trail behind the text and settle into a single word.
@react-bits/EchoText-TS-TW	component	Ghosted copies trail behind the text and settle into a single word.
@react-bits/ElasticMesh-JS-CSS	component	Spring-mesh surface that stretches under the pointer and settles back with damped physics.
@react-bits/ElasticMesh-JS-TW	component	Spring-mesh surface that stretches under the pointer and settles back with damped physics.
@react-bits/ElasticMesh-TS-CSS	component	Spring-mesh surface that stretches under the pointer and settles back with damped physics.
@react-bits/ElasticMesh-TS-TW	component	Spring-mesh surface that stretches under the pointer and settles back with damped physics.
@react-bits/ElasticSlider-JS-CSS	component	Slider handle stretches elastically then snaps with spring physics.
@react-bits/ElasticSlider-JS-TW	component	Slider handle stretches elastically then snaps with spring physics.
@react-bits/ElasticSlider-TS-CSS	component	Slider handle stretches elastically then snaps with spring physics.
@react-bits/ElasticSlider-TS-TW	component	Slider handle stretches elastically then snaps with spring physics.
@react-bits/ElectricBorder-JS-CSS	component	Jittery electric energy border with animated arcs, glow and adjustable intensity.
@react-bits/ElectricBorder-JS-TW	component	Jittery electric energy border with animated arcs, glow and adjustable intensity.
@react-bits/ElectricBorder-TS-CSS	component	Jittery electric energy border with animated arcs, glow and adjustable intensity.
@react-bits/ElectricBorder-TS-TW	component	Jittery electric energy border with animated arcs, glow and adjustable intensity.
@react-bits/EvilEye-JS-CSS	component	Procedural evil eye shader with animated iris, slit pupil, and fiery outer glow.
@react-bits/EvilEye-JS-TW	component	Procedural evil eye shader with animated iris, slit pupil, and fiery outer glow.
@react-bits/EvilEye-TS-CSS	component	Procedural evil eye shader with animated iris, slit pupil, and fiery outer glow.
@react-bits/EvilEye-TS-TW	component	Procedural evil eye shader with animated iris, slit pupil, and fiery outer glow.
@react-bits/FadeContent-JS-CSS	component	Simple directional fade / slide entrance / exit wrapper with threshold-based activation.
@react-bits/FadeContent-JS-TW	component	Simple directional fade / slide entrance / exit wrapper with threshold-based activation.
@react-bits/FadeContent-TS-CSS	component	Simple directional fade / slide entrance / exit wrapper with threshold-based activation.
@react-bits/FadeContent-TS-TW	component	Simple directional fade / slide entrance / exit wrapper with threshold-based activation.
@react-bits/FallingText-JS-CSS	component	Characters fall with gravity + bounce creating a playful entrance.
@react-bits/FallingText-JS-TW	component	Characters fall with gravity + bounce creating a playful entrance.
@react-bits/FallingText-TS-CSS	component	Characters fall with gravity + bounce creating a playful entrance.
@react-bits/FallingText-TS-TW	component	Characters fall with gravity + bounce creating a playful entrance.
@react-bits/FaultyTerminal-JS-CSS	component	Terminal CRT scanline squares effect with flicker + noise.
@react-bits/FaultyTerminal-JS-TW	component	Terminal CRT scanline squares effect with flicker + noise.
@react-bits/FaultyTerminal-TS-CSS	component	Terminal CRT scanline squares effect with flicker + noise.
@react-bits/FaultyTerminal-TS-TW	component	Terminal CRT scanline squares effect with flicker + noise.
@react-bits/Ferrofluid-JS-CSS	component	A churning magnetic fluid traced by glowing contour lines, with a cursor magnet.
@react-bits/Ferrofluid-JS-TW	component	A churning magnetic fluid traced by glowing contour lines, with a cursor magnet.
@react-bits/Ferrofluid-TS-CSS	component	A churning magnetic fluid traced by glowing contour lines, with a cursor magnet.
@react-bits/Ferrofluid-TS-TW	component	A churning magnetic fluid traced by glowing contour lines, with a cursor magnet.
@react-bits/FloatingLines-JS-CSS	component	3D floating lines that react to cursor movement.
@react-bits/FloatingLines-JS-TW	component	3D floating lines that react to cursor movement.
@react-bits/FloatingLines-TS-CSS	component	3D floating lines that react to cursor movement.
@react-bits/FloatingLines-TS-TW	component	3D floating lines that react to cursor movement.
@react-bits/FlowingMenu-JS-CSS	component	Liquid flowing active indicator glides between menu items.
@react-bits/FlowingMenu-JS-TW	component	Liquid flowing active indicator glides between menu items.
@react-bits/FlowingMenu-TS-CSS	component	Liquid flowing active indicator glides between menu items.
@react-bits/FlowingMenu-TS-TW	component	Liquid flowing active indicator glides between menu items.
@react-bits/FluidGlass-JS-CSS	component	Glassmorphism container with animated liquid distortion refraction.
@react-bits/FluidGlass-JS-TW	component	Glassmorphism container with animated liquid distortion refraction.
@react-bits/FluidGlass-TS-CSS	component	Glassmorphism container with animated liquid distortion refraction.
@react-bits/FluidGlass-TS-TW	component	Glassmorphism container with animated liquid distortion refraction.
